@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
10.0,3361.2616,11171.77916,70.35,106.41,143.03,40.79,89.63,152.97,61.37,52.46,33.97,-0.3,10.91,91.99,1645128000.0,20.0,0.0,3.0,-0.3
6.0,3329.4284,8340.79769,311.42,490.02,185.22,180.58,276.79,329.36,362.32,94.78,214.71,96.13,-0.3,20.26,1644786600.0,21.0,10.0,6.0,409.0
2.0,3351.0017,6416.64673,23.37,33.15,88.99,-0.3,-0.3,-2.01,50.45,19.56,-0.32,-0.3,-0.32,-0.32,1644946800.0,17.0,40.0,1.0,17.21
1.0,3349.8515,5939.23193,303.63,344.35,320.57,378.35,326.74,422.42,420.25,239.46,439.29,3.75,-0.3,-0.3,1644109200.0,1.0,0.0,6.0,259.52
8.0,3360.2992,9265.21442,316.32,305.81,317.02,272.97,315.84,413.39,377.25,338.63,255.14,201.31,185.7,0.22,1644557400.0,5.0,30.0,4.0,280.08
7.0,3360.5473,8816.23834,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-2.4,244.96,1645001400.0,8.0,50.0,2.0,-0.3
1.0,3349.8515,5939.23193,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1644339000.0,16.0,50.0,1.0,-0.3
5.0,3355.342,7841.20175,44.58,382.75,536.84,836.93,573.26,413.16,469.4,452.94,443.33,843.2,685.69,868.18,1644852000.0,15.0,20.0,0.0,115.18
1.0,3349.8515,5939.23193,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1645012200.0,11.0,50.0,2.0,-0.3
8.0,3360.2992,9265.21442,54.99,34.05,61.24,61.28,66.02,58.31,94.41,76.54,62.49,94.39,85.18,68.57,1645226400.0,23.0,20.0,4.0,46.28
4.0,3352.094,7366.14203,1398.31,1287.69,1501.46,1375.26,1423.0,1298.98,878.42,906.8,1503.52,1382.9,403.36,-0.3,1644685800.0,17.0,10.0,5.0,1245.6
10.0,3361.2616,11171.77916,98.73,276.27,494.65,271.88,249.02,656.23,840.16,616.87,721.05,642.52,584.29,736.62,1644622200.0,23.0,30.0,4.0,175.37
3.0,3314.7797,6892.18395,699.59,403.38,518.42,524.64,577.78,686.36,682.34,786.23,694.54,466.13,722.85,1074.71,1644837000.0,11.0,10.0,0.0,652.66
5.0,3355.342,7841.20175,-0.3,-0.3,102.81,197.35,341.78,-0.3,-0.3,-0.3,-0.3,5.0,4.3,0.0,1645120800.0,18.0,0.0,3.0,-0.3
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,43.81,145.24,84.96,226.15,262.24,183.98,1643980800.0,13.0,20.0,4.0,-0.3
6.0,3329.4284,8340.79769,-1.29,49.72,47.96,41.72,9.84,12.21,17.57,42.96,118.41,104.29,120.05,110.55,1644360000.0,22.0,40.0,1.0,-0.31
6.0,3329.4284,8340.79769,566.12,485.68,420.2,735.72,555.71,175.38,156.42,145.85,10.07,-1.77,106.57,47.85,1644589200.0,14.0,20.0,4.0,365.27
4.0,3352.094,7366.14203,312.18,240.96,296.44,263.88,469.86,579.54,528.32,513.52,421.56,376.47,370.62,298.71,1644320400.0,11.0,40.0,1.0,180.96
