@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
1.0,3349.8515,5939.23193,-0.3,-0.3,-0.3,-0.3,-0.3,-0.31,-3.8,15.96,33.49,42.63,63.43,87.62,1659222000.0,23.0,0.0,5.0,-0.3
2.0,3351.0017,6416.64673,230.25,254.07,199.07,247.04,220.22,251.02,277.65,232.04,206.36,208.43,288.06,296.89,1659457800.0,16.0,30.0,1.0,255.43
1.0,3349.8515,5939.23193,-0.92,81.03,43.77,72.05,90.96,77.35,84.26,35.16,73.33,75.9,125.91,53.51,1658907600.0,7.0,40.0,2.0,-0.32
8.0,3360.2992,9265.21442,1519.64,1519.72,1519.59,1519.94,1519.84,1519.63,1519.65,1519.83,1519.75,1519.62,1519.8,1519.62,1658734800.0,7.0,40.0,0.0,1519.58
1.0,3349.8515,5939.23193,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1659244800.0,5.0,20.0,6.0,-0.3
6.0,3329.4284,8340.79769,672.83,562.49,576.55,532.74,656.82,839.97,857.92,744.21,537.25,394.05,339.6,339.6,1659491400.0,1.0,50.0,2.0,814.92
8.0,3360.2992,9265.21442,716.73,321.59,121.21,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1659599400.0,7.0,50.0,3.0,985.8
8.0,3360.2992,9265.21442,174.6,90.53,154.41,83.49,-0.3,137.33,133.42,99.27,54.82,106.07,86.76,82.21,1659372600.0,16.0,50.0,0.0,91.56
5.0,3355.342,7841.20175,943.67,1000.74,867.62,806.27,850.94,967.53,897.23,681.25,611.62,450.42,533.24,608.71,1659511200.0,7.0,20.0,2.0,863.39
5.0,3355.342,7841.20175,388.91,285.36,327.1,374.13,298.11,229.8,193.63,235.95,228.31,195.62,262.57,323.89,1659467400.0,19.0,10.0,1.0,395.74
9.0,3359.9419,10696.54549,73.57,93.66,119.12,139.11,137.06,125.25,135.92,109.36,124.07,119.33,122.03,132.53,1659843000.0,3.0,30.0,6.0,53.18
4.0,3352.094,7366.14203,608.76,609.39,572.38,521.38,536.29,605.07,680.49,821.8,767.58,696.36,717.02,764.42,1659433800.0,9.0,50.0,1.0,481.43
5.0,3355.342,7841.20175,599.93,576.45,622.01,571.48,497.83,546.43,545.87,512.47,471.95,437.86,457.97,502.72,1659999600.0,23.0,0.0,0.0,606.77
7.0,3360.5473,8816.23834,1257.02,1166.31,960.8,941.0,907.61,926.71,857.63,854.91,819.76,713.72,727.47,739.83,1659112800.0,16.0,40.0,4.0,1209.25
3.0,3314.7797,6892.18395,85.01,121.61,164.87,365.7,556.89,584.29,642.28,685.29,802.15,924.58,975.13,961.49,1659338400.0,7.0,20.0,0.0,42.24
6.0,3329.4284,8340.79769,470.19,636.33,927.37,986.44,916.78,816.96,739.21,601.39,583.94,556.1,540.55,484.24,1658695200.0,20.0,40.0,6.0,547.81
5.0,3355.342,7841.20175,1125.45,1180.72,1114.28,1124.33,1020.87,1025.89,969.78,1082.53,1240.59,1176.97,1121.42,1329.46,1659709200.0,14.0,20.0,4.0,1102.48
8.0,3360.2992,9265.21442,-0.3,-2.31,34.44,108.98,173.34,171.56,159.87,158.6,162.07,185.3,319.13,380.84,1659178200.0,10.0,50.0,5.0,-0.3
6.0,3329.4284,8340.79769,-0.3,-0.33,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1658924400.0,12.0,20.0,2.0,-0.24
5.0,3355.342,7841.20175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659975600.0,16.0,20.0,0.0,0.0
6.0,3329.4284,8340.79769,1384.24,1351.11,1435.26,1511.52,1518.3,1513.99,1479.26,1379.68,1496.1,1344.0,1301.74,1513.97,1658768400.0,17.0,0.0,0.0,1455.61
10.0,3361.2616,11171.77916,818.87,710.64,414.25,391.96,526.89,602.12,509.22,537.08,524.02,539.36,509.0,383.93,1659675600.0,5.0,0.0,4.0,823.28
1.0,3349.8515,5939.23193,415.61,368.18,435.85,448.44,459.91,543.79,529.74,582.43,670.94,709.88,717.54,655.75,1659438000.0,11.0,0.0,1.0,421.59
