@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
2.0,3351.0017,6416.64673,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1654710000.0,17.0,40.0,2.0,-0.3
10.0,3361.2616,11171.77916,1511.7,1505.64,1506.93,1510.13,1506.59,1513.69,1515.53,1516.01,1516.07,1517.69,1517.6,1517.47,1653870600.0,0.0,30.0,0.0,1513.08
3.0,3314.7797,6892.18395,825.63,1159.43,1345.63,1150.75,912.14,1327.68,1487.45,1491.53,1519.01,1519.83,1519.63,1519.91,1653818400.0,10.0,0.0,6.0,492.45
7.0,3360.5473,8816.23834,1519.84,1519.9,1514.34,1493.94,1420.41,1441.15,1432.22,1338.93,1482.64,1482.45,1482.3,1361.18,1653811800.0,8.0,10.0,6.0,1519.69
10.0,3361.2616,11171.77916,-0.3,-0.3,-0.3,-0.31,-3.8,3.39,17.63,18.74,28.29,44.82,35.36,50.24,1654299600.0,23.0,40.0,4.0,-0.3
4.0,3352.094,7366.14203,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.69,13.96,13.94,60.38,51.2,49.56,1653480600.0,12.0,10.0,2.0,-0.3
4.0,3352.094,7366.14203,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1654126200.0,23.0,30.0,2.0,-0.3
9.0,3359.9419,10696.54549,1517.93,1519.38,1518.67,1519.22,1518.22,1518.14,1517.78,1518.64,1517.56,1517.06,1517.35,1517.83,1654498800.0,7.0,0.0,0.0,1518.09
2.0,3351.0017,6416.64673,33.75,48.13,58.42,97.02,88.39,115.3,92.24,61.72,125.75,156.23,104.38,76.58,1653532200.0,2.0,30.0,3.0,20.06
10.0,3361.2616,11171.77916,139.5,146.45,140.0,176.86,161.18,202.72,294.16,256.45,354.46,393.28,374.69,301.8,1654632000.0,20.0,0.0,1.0,174.94
6.0,3329.4284,8340.79769,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.32,1654283400.0,19.0,10.0,4.0,-0.3
2.0,3351.0017,6416.64673,142.15,155.14,162.12,155.75,148.39,342.51,219.82,335.57,496.01,407.44,408.54,486.82,1654096200.0,15.0,10.0,2.0,68.94
5.0,3355.342,7841.20175,105.84,119.12,28.52,0.0,0.0,0.0,0.0,0.0,-0.17,-0.3,-0.3,-0.3,1654342800.0,11.0,40.0,5.0,96.64
4.0,3352.094,7366.14203,-0.32,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1654107600.0,18.0,20.0,2.0,-0.32
8.0,3360.2992,9265.21442,434.39,402.67,449.71,600.53,689.01,569.67,483.99,477.69,565.74,642.79,231.3,511.19,1653982800.0,7.0,40.0,1.0,538.76
2.0,3351.0017,6416.64673,642.4,467.76,892.85,609.78,598.94,554.34,741.79,844.76,551.73,802.75,584.69,675.24,1654191000.0,17.0,30.0,3.0,754.56
3.0,3314.7797,6892.18395,1519.0,1519.32,1518.8,1519.37,1519.9,1519.68,1519.21,1519.81,1484.13,1139.62,1460.32,1517.75,1653882000.0,3.0,40.0,0.0,1507.5
6.0,3329.4284,8340.79769,261.09,317.15,435.61,472.35,319.1,230.95,383.91,-0.3,-0.3,-0.3,-0.3,65.64,1653457800.0,5.0,50.0,2.0,332.85
10.0,3361.2616,11171.77916,21.89,30.84,52.73,58.16,66.52,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1653560400.0,10.0,20.0,3.0,-0.86
1.0,3349.8515,5939.23193,399.61,436.08,429.1,429.2,729.51,749.67,577.31,942.46,1122.82,926.29,1293.94,1129.31,1654803000.0,19.0,30.0,3.0,395.01
5.0,3355.342,7841.20175,226.21,248.08,271.12,284.98,328.16,263.62,309.64,411.99,466.75,328.55,231.08,416.25,1653460800.0,6.0,40.0,2.0,226.88
6.0,3329.4284,8340.79769,1515.91,1335.6,1113.5,1176.57,1379.87,1513.87,1519.55,1510.41,1519.2,1518.97,1518.6,1516.88,1653878400.0,2.0,40.0,0.0,1518.94
10.0,3361.2616,11171.77916,1174.33,756.95,553.05,615.03,57.58,13.64,361.41,570.08,583.38,545.26,549.2,468.82,1654026600.0,19.0,50.0,1.0,936.55
8.0,3360.2992,9265.21442,-0.3,-0.3,-0.3,-1.74,3.53,-2.98,-1.94,0.65,9.91,14.69,14.77,8.98,1653691800.0,22.0,50.0,4.0,-0.3
10.0,3361.2616,11171.77916,641.52,648.59,536.5,518.11,548.54,677.31,669.43,825.54,740.8,627.4,540.15,574.26,1654604400.0,12.0,20.0,1.0,584.76
3.0,3314.7797,6892.18395,231.54,230.28,266.6,320.63,434.93,476.75,354.83,477.56,667.12,831.29,1174.39,1287.54,1654428000.0,11.0,20.0,6.0,240.06
3.0,3314.7797,6892.18395,77.6,48.53,4.07,120.84,139.54,253.52,241.2,270.73,403.58,514.42,450.62,663.25,1654270200.0,15.0,30.0,4.0,26.85
6.0,3329.4284,8340.79769,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1653579000.0,15.0,30.0,3.0,-0.3
