@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
2.0,3351.0017,6416.64673,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1643760000.0,0.0,0.0,2.0,-0.3
2.0,3351.0017,6416.64673,147.48,409.89,397.61,488.74,809.15,843.79,260.69,565.94,449.21,868.54,535.96,731.91,1643908800.0,17.0,20.0,3.0,211.91
7.0,3360.5473,8816.23834,267.81,321.99,323.37,296.59,264.29,275.22,199.33,262.34,215.38,240.72,211.95,231.64,1644055200.0,10.0,0.0,5.0,363.06
6.0,3329.4284,8340.79769,-0.3,-0.3,-0.3,-0.3,19.34,36.2,77.77,118.04,89.58,-0.31,-0.31,-1.29,1644366600.0,0.0,30.0,2.0,-0.3
10.0,3361.2616,11171.77916,431.75,394.93,441.45,540.91,518.8,495.04,375.55,378.16,289.76,302.08,343.15,304.37,1644318600.0,11.0,10.0,1.0,245.78
4.0,3352.094,7366.14203,-2.2,42.43,22.27,41.06,28.54,50.13,159.07,127.58,-0.3,-0.31,-1.85,27.48,1643686800.0,3.0,40.0,1.0,-0.3
6.0,3329.4284,8340.79769,336.26,340.72,286.36,198.58,139.92,124.43,116.02,98.28,61.95,54.44,52.03,71.98,1643972400.0,11.0,0.0,4.0,302.75
3.0,3314.7797,6892.18395,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,26.7,-0.3,-0.3,-0.3,1643564400.0,17.0,40.0,6.0,-0.3
7.0,3360.5473,8816.23834,553.97,530.22,462.97,935.92,694.22,891.3,783.78,709.09,798.35,566.96,511.87,538.06,1644848400.0,14.0,20.0,0.0,344.9
5.0,3355.342,7841.20175,1495.34,1462.45,1375.48,1337.86,1359.55,1323.5,1317.69,1349.52,1404.94,1509.96,1520.35,1480.84,1644736200.0,7.0,10.0,6.0,1357.69
7.0,3360.5473,8816.23834,132.76,145.07,296.07,301.98,503.94,819.38,770.89,509.66,522.78,936.73,1063.15,1064.79,1644283200.0,1.0,20.0,1.0,130.46
6.0,3329.4284,8340.79769,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1644235800.0,12.0,10.0,0.0,-0.3
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1643862000.0,4.0,20.0,3.0,-0.3
4.0,3352.094,7366.14203,685.52,150.3,477.84,549.2,358.99,689.82,293.24,52.64,-0.3,-0.3,-0.3,-0.3,1644590400.0,14.0,40.0,4.0,879.43
8.0,3360.2992,9265.21442,257.99,271.52,231.53,221.13,221.32,264.59,341.19,374.29,431.68,478.69,409.78,346.83,1644472200.0,5.0,50.0,3.0,293.55
7.0,3360.5473,8816.23834,107.69,120.56,114.82,127.3,99.92,56.03,43.66,50.95,60.59,41.38,82.48,103.23,1644045000.0,7.0,10.0,5.0,115.18
9.0,3359.9419,10696.54549,-0.3,-0.3,53.25,245.0,-0.3,-0.3,-0.3,-0.3,-0.3,66.46,100.28,36.24,1643811000.0,14.0,10.0,2.0,81.09
5.0,3355.342,7841.20175,225.24,236.88,260.3,223.41,-0.31,-1.19,19.33,62.59,115.77,90.07,22.48,37.88,1643584200.0,23.0,10.0,6.0,109.29
10.0,3361.2616,11171.77916,482.18,559.42,537.72,584.63,538.44,685.95,580.78,429.98,448.52,469.67,425.62,538.52,1644300600.0,6.0,10.0,1.0,447.46
4.0,3352.094,7366.14203,52.03,118.99,276.63,240.99,229.0,193.65,142.66,29.88,-0.31,-0.3,-2.2,42.43,1643692800.0,5.0,20.0,1.0,117.18
7.0,3360.5473,8816.23834,133.42,137.74,334.58,420.76,571.27,566.28,664.25,522.73,640.36,425.8,406.34,481.73,1644620400.0,23.0,0.0,4.0,169.26
7.0,3360.5473,8816.23834,7.23,20.55,0.0,0.0,0.0,0.0,0.0,-0.01,-0.3,-0.3,-0.3,-0.3,1644418200.0,14.0,50.0,2.0,-0.3
6.0,3329.4284,8340.79769,14.49,168.81,-0.31,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1643554200.0,14.0,50.0,6.0,-0.3
2.0,3351.0017,6416.64673,284.89,589.58,142.95,316.31,786.46,770.12,827.7,925.21,1066.17,1076.24,1050.87,1112.83,1644762600.0,14.0,30.0,6.0,543.78
4.0,3352.094,7366.14203,159.38,134.89,203.43,201.94,224.2,250.75,286.49,287.27,264.6,261.5,298.96,273.94,1644441000.0,21.0,10.0,2.0,152.62
9.0,3359.9419,10696.54549,966.32,940.57,883.98,820.21,1078.03,978.01,927.6,926.69,950.55,760.81,542.16,460.14,1644142800.0,10.0,20.0,6.0,985.67
6.0,3329.4284,8340.79769,643.29,759.3,952.57,868.41,760.87,1190.19,1042.2,1074.44,135.51,776.36,856.73,283.02,1644267000.0,20.0,50.0,0.0,741.63
3.0,3314.7797,6892.18395,244.53,351.45,284.9,185.27,-0.3,-0.3,-0.3,-0.3,36.38,343.35,693.63,347.16,1644879600.0,23.0,0.0,0.0,21.53
9.0,3359.9419,10696.54549,475.99,425.51,687.86,203.23,386.3,624.14,952.73,700.31,696.55,702.16,625.36,539.79,1644168600.0,17.0,30.0,6.0,533.27
8.0,3360.2992,9265.21442,-0.3,-0.3,26.35,66.37,67.53,131.45,68.91,-0.3,-0.3,-0.3,35.6,122.14,1643782200.0,6.0,10.0,2.0,-0.3
8.0,3360.2992,9265.21442,800.1,888.01,747.95,576.88,548.94,592.16,558.17,571.1,562.23,585.5,694.91,675.88,1644844800.0,13.0,20.0,0.0,907.1
3.0,3314.7797,6892.18395,368.92,600.29,722.45,976.11,528.66,327.59,801.82,868.27,613.13,656.31,287.15,272.83,1644870000.0,20.0,20.0,0.0,239.9
5.0,3355.342,7841.20175,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1643550600.0,13.0,50.0,6.0,-0.32
5.0,3355.342,7841.20175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643883600.0,10.0,20.0,3.0,0.0
1.0,3349.8515,5939.23193,663.13,783.19,822.26,1051.26,1136.43,1099.47,1009.92,1118.85,1260.46,1161.39,1408.61,1350.64,1644760200.0,13.0,50.0,6.0,204.83
6.0,3329.4284,8340.79769,692.56,660.53,665.07,730.31,621.08,498.52,387.1,369.5,474.85,391.97,361.1,572.38,1644299400.0,5.0,50.0,1.0,609.69
6.0,3329.4284,8340.79769,310.96,333.26,310.15,313.12,264.8,265.23,249.35,288.12,376.2,387.84,454.64,492.9,1644473400.0,6.0,10.0,3.0,445.99
3.0,3314.7797,6892.18395,1105.87,964.63,817.52,716.75,664.41,767.45,722.97,796.97,730.69,835.25,791.21,624.96,1644804000.0,2.0,0.0,0.0,1224.68
7.0,3360.5473,8816.23834,858.72,954.64,574.27,694.46,151.15,265.04,611.02,755.08,445.78,721.71,623.83,618.45,1644169200.0,17.0,40.0,6.0,393.73
9.0,3359.9419,10696.54549,627.73,654.26,526.89,409.97,419.3,383.57,338.78,328.01,372.24,298.25,340.08,294.71,1644059400.0,11.0,10.0,5.0,479.17
5.0,3355.342,7841.20175,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1644402000.0,10.0,20.0,2.0,-0.3
5.0,3355.342,7841.20175,1375.63,500.02,178.08,68.01,39.25,-0.31,-1.61,157.29,154.68,164.68,250.51,338.48,1644680400.0,15.0,40.0,5.0,1413.04
7.0,3360.5473,8816.23834,205.48,203.9,248.92,337.02,363.6,377.29,383.16,405.79,458.74,441.31,411.47,551.49,1643616000.0,8.0,0.0,0.0,181.75
3.0,3314.7797,6892.18395,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1644393000.0,7.0,50.0,2.0,-0.3
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.77,68.35,102.6,35.68,-0.3,1644004200.0,19.0,50.0,4.0,-0.3
1.0,3349.8515,5939.23193,1323.61,1314.59,1292.78,1317.81,1323.37,1207.05,976.93,1020.02,1059.98,972.58,892.73,548.73,1644720600.0,2.0,50.0,6.0,1267.27
8.0,3360.2992,9265.21442,100.21,33.57,41.28,234.54,132.98,10.92,28.09,90.19,-0.3,-0.3,-0.3,-0.3,1643578800.0,21.0,40.0,6.0,137.94
4.0,3352.094,7366.14203,-0.3,79.18,57.22,222.86,-0.3,-0.3,-0.32,-0.31,-0.3,-0.3,-0.3,-0.3,1643554800.0,15.0,0.0,6.0,-0.3
5.0,3355.342,7841.20175,1268.94,1297.17,1168.83,1150.11,1304.73,1436.44,1304.88,1511.2,1425.85,1448.82,1391.65,863.41,1644688800.0,18.0,0.0,5.0,1198.96
6.0,3329.4284,8340.79769,70.71,61.28,53.05,-0.58,143.04,221.27,122.6,174.56,256.33,255.87,245.58,396.98,1644325200.0,13.0,0.0,1.0,-3.87
1.0,3349.8515,5939.23193,1494.4,1527.36,1505.97,1541.98,1547.45,1541.07,1549.11,1549.56,1542.22,1549.44,1527.74,1473.68,1644184200.0,21.0,50.0,6.0,1453.93
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,19.28,93.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1643867400.0,5.0,50.0,3.0,-0.3
3.0,3314.7797,6892.18395,892.22,737.5,892.91,875.39,913.84,822.91,840.89,907.74,528.73,458.57,625.73,715.25,1644517200.0,18.0,20.0,3.0,835.87
6.0,3329.4284,8340.79769,65.2,52.48,80.58,124.46,191.71,200.0,195.6,260.65,250.26,218.4,139.1,111.59,1644040200.0,5.0,50.0,5.0,54.62
7.0,3360.5473,8816.23834,-0.3,38.8,66.95,184.15,90.54,226.85,35.26,-2.84,75.95,177.19,401.79,482.33,1644857400.0,16.0,50.0,0.0,21.81
9.0,3359.9419,10696.54549,967.74,896.99,1003.53,950.5,841.39,797.29,772.51,734.81,802.82,968.32,977.25,1051.15,1644700200.0,21.0,10.0,5.0,983.64
9.0,3359.9419,10696.54549,-1.89,27.01,131.1,193.21,192.13,139.66,162.03,149.14,155.96,189.96,271.19,371.83,1643506200.0,1.0,30.0,6.0,-0.3
7.0,3360.5473,8816.23834,58.3,51.66,-0.3,-0.3,-0.3,-0.3,29.42,92.91,30.74,18.31,-0.3,-0.3,1644335400.0,15.0,50.0,1.0,-2.93
2.0,3351.0017,6416.64673,849.3,1040.48,975.17,1049.3,999.85,829.42,727.85,654.06,688.49,569.33,693.72,606.41,1644660000.0,10.0,0.0,5.0,689.94
5.0,3355.342,7841.20175,-2.08,10.34,42.21,70.8,58.66,81.2,88.45,152.52,185.73,176.41,193.79,218.76,1643622600.0,9.0,50.0,0.0,-0.33
6.0,3329.4284,8340.79769,637.96,407.1,597.77,799.23,831.97,923.25,901.89,993.59,896.33,842.84,976.36,1302.83,1644276000.0,23.0,20.0,0.0,1031.91
10.0,3361.2616,11171.77916,15.26,243.9,137.46,68.24,16.12,205.03,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1644376800.0,3.0,20.0,2.0,0.0
5.0,3355.342,7841.20175,215.07,113.18,-0.31,-0.3,-0.3,-0.3,-0.3,-0.32,-0.3,-0.3,-0.3,-0.3,1644381000.0,4.0,30.0,2.0,108.68
4.0,3352.094,7366.14203,-0.3,-0.3,-0.3,-0.3,5.4,34.32,-0.35,104.34,168.71,80.93,180.96,312.18,1644327000.0,13.0,30.0,1.0,-0.3
