@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
8.0,3360.2992,9265.21442,-0.3,1.66,15.38,39.79,34.49,34.07,48.73,40.01,44.41,26.48,15.98,33.51,1660255200.0,22.0,0.0,3.0,-0.3
4.0,3352.094,7366.14203,1519.26,1519.37,1519.18,1519.0,1518.26,1517.79,1515.45,1507.01,1486.97,1226.12,1075.63,902.87,1660082400.0,22.0,0.0,1.0,1519.17
2.0,3351.0017,6416.64673,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1660670400.0,17.0,20.0,1.0,-0.3
3.0,3314.7797,6892.18395,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1660798200.0,4.0,50.0,3.0,-0.3
9.0,3359.9419,10696.54549,876.39,970.49,1160.66,1314.05,1395.57,1395.25,1417.38,1457.48,1505.01,1424.5,1441.44,1380.48,1660560000.0,10.0,40.0,0.0,794.61
1.0,3349.8515,5939.23193,477.79,447.96,548.05,538.14,645.19,614.78,644.68,711.52,677.32,570.74,681.43,514.92,1660140000.0,14.0,0.0,2.0,506.46
5.0,3355.342,7841.20175,221.89,196.05,189.33,180.37,129.97,99.5,100.2,76.56,96.55,133.09,136.51,141.59,1660639800.0,8.0,50.0,1.0,193.83
2.0,3351.0017,6416.64673,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1659876600.0,12.0,50.0,6.0,-0.3
9.0,3359.9419,10696.54549,611.93,596.84,680.12,755.66,833.92,795.9,1016.05,963.75,987.47,995.25,978.0,1063.13,1660570200.0,13.0,30.0,0.0,520.24
2.0,3351.0017,6416.64673,-0.3,-0.3,-0.3,-0.3,-0.66,30.24,39.17,127.17,160.28,117.22,91.39,107.15,1660110000.0,5.0,40.0,2.0,-0.3
