@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
5.0,3355.342,7841.20175,609.39,609.39,609.39,609.39,609.39,609.39,609.39,609.39,609.39,609.39,609.39,609.39,1646739600.0,11.0,40.0,1.0,609.39
8.0,3360.2992,9265.21442,1509.52,1438.48,573.38,-0.3,-0.3,13.57,225.8,143.79,140.41,238.18,615.0,7.4,1647285000.0,19.0,10.0,0.0,1477.67
1.0,3349.8515,5939.23193,115.73,205.59,348.35,303.13,207.1,152.85,228.02,67.29,329.93,114.71,291.1,309.9,1647886800.0,18.0,20.0,0.0,148.14
3.0,3314.7797,6892.18395,285.5,92.43,264.11,198.66,281.31,298.96,123.87,138.29,290.23,352.53,241.44,217.94,1647882000.0,17.0,0.0,0.0,212.36
7.0,3360.5473,8816.23834,740.54,532.7,441.65,400.11,432.12,416.02,366.81,331.82,258.09,225.46,177.92,136.96,1647478200.0,0.0,50.0,3.0,1226.22
3.0,3314.7797,6892.18395,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,14.65,1647602400.0,11.0,20.0,4.0,-0.3
6.0,3329.4284,8340.79769,234.82,234.82,234.82,234.82,234.82,234.82,234.82,234.82,234.82,234.82,234.82,234.82,1646695800.0,23.0,30.0,0.0,234.82
10.0,3361.2616,11171.77916,222.22,222.22,222.22,222.22,222.22,222.22,222.22,222.22,222.22,222.22,222.22,222.22,1646734800.0,10.0,20.0,1.0,222.22
8.0,3360.2992,9265.21442,1110.88,1275.42,1360.34,1371.13,1341.59,1281.34,1274.98,1257.14,1260.73,1281.03,1218.36,1015.36,1647217800.0,0.0,30.0,0.0,1185.71
10.0,3361.2616,11171.77916,196.06,478.41,96.78,20.69,126.94,160.93,286.29,435.83,500.95,366.69,130.1,260.58,1647877800.0,15.0,50.0,0.0,39.45
10.0,3361.2616,11171.77916,157.22,223.49,219.11,245.29,317.74,412.86,409.42,351.47,397.31,461.18,497.45,623.02,1647402000.0,3.0,40.0,2.0,188.89
8.0,3360.2992,9265.21442,308.3,308.3,308.3,308.3,308.3,308.3,308.3,308.3,308.3,308.3,308.3,308.3,1646665800.0,15.0,10.0,0.0,308.3
5.0,3355.342,7841.20175,332.8,194.73,199.69,296.75,283.31,356.06,124.93,27.55,44.53,129.13,42.87,20.01,1647428400.0,11.0,0.0,2.0,209.66
1.0,3349.8515,5939.23193,495.93,452.76,392.69,374.43,447.61,557.04,581.24,597.44,672.14,654.48,764.31,754.2,1647847800.0,7.0,30.0,0.0,518.32
2.0,3351.0017,6416.64673,1388.17,1380.2,1413.63,1437.04,1240.31,1284.45,1267.39,1206.66,1017.13,1006.83,1051.06,1061.32,1647511800.0,10.0,10.0,3.0,1343.63
4.0,3352.094,7366.14203,-0.3,-0.33,-1.13,32.1,63.04,76.78,79.15,103.61,82.59,83.03,105.56,96.12,1647120600.0,21.0,30.0,5.0,-0.3
7.0,3360.5473,8816.23834,298.58,227.35,174.4,267.47,293.06,275.41,93.62,19.77,54.21,56.33,-0.31,1.4,1647428400.0,11.0,0.0,2.0,186.81
5.0,3355.342,7841.20175,33.58,22.29,58.52,72.43,156.37,148.96,75.73,77.25,66.13,108.75,103.94,179.06,1647897600.0,21.0,20.0,0.0,85.16
1.0,3349.8515,5939.23193,911.97,893.75,955.76,1015.06,998.23,900.75,706.86,694.16,726.32,671.85,694.9,582.17,1647838800.0,5.0,0.0,0.0,907.68
7.0,3360.5473,8816.23834,158.82,88.02,-0.3,-0.3,-0.3,-0.3,-0.32,72.36,163.81,118.33,250.63,336.91,1647587400.0,7.0,10.0,4.0,253.84
6.0,3329.4284,8340.79769,1185.07,1216.34,1088.86,1058.8,923.33,969.94,851.48,884.52,943.67,973.88,981.83,1035.57,1647492600.0,4.0,50.0,3.0,1176.34
5.0,3355.342,7841.20175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.32,13.07,120.19,124.5,1646814000.0,8.0,20.0,2.0,0.0
7.0,3360.5473,8816.23834,556.63,727.55,703.88,739.52,806.93,840.48,847.73,821.03,889.94,965.19,1075.33,1083.08,1647232200.0,4.0,30.0,0.0,656.51
8.0,3360.2992,9265.21442,169.08,101.29,246.85,149.95,105.58,133.35,253.87,81.17,67.14,9.76,97.11,71.58,1646853600.0,19.0,20.0,2.0,211.37
5.0,3355.342,7841.20175,112.59,88.93,99.78,209.66,332.8,194.73,199.69,296.75,283.31,356.06,124.93,27.55,1647430800.0,11.0,40.0,2.0,16.08
9.0,3359.9419,10696.54549,-0.3,-2.45,214.26,612.05,523.93,128.03,285.83,351.52,286.97,158.55,2.68,129.95,1647622800.0,17.0,0.0,4.0,-0.3
7.0,3360.5473,8816.23834,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1647670800.0,6.0,20.0,5.0,-0.3
10.0,3361.2616,11171.77916,1492.83,1481.48,1461.45,1377.96,1445.92,1463.0,1440.97,1471.77,1317.93,1362.76,1392.22,1314.05,1647343800.0,11.0,30.0,1.0,1488.99
10.0,3361.2616,11171.77916,318.48,79.08,53.0,134.52,50.43,149.2,313.47,270.37,293.26,526.47,134.98,279.4,1647036600.0,22.0,10.0,4.0,455.65
5.0,3355.342,7841.20175,521.6,895.33,1150.67,1156.82,1217.0,1173.23,979.73,1208.43,741.53,567.08,462.72,405.1,1647483000.0,2.0,10.0,3.0,754.47
9.0,3359.9419,10696.54549,600.22,600.22,600.22,600.22,600.22,600.22,600.22,600.22,600.22,600.22,600.22,600.22,1646734800.0,10.0,20.0,1.0,600.22
9.0,3359.9419,10696.54549,771.52,772.39,723.44,727.56,681.27,657.97,587.0,474.1,511.31,416.45,279.88,230.14,1647560400.0,23.0,40.0,3.0,708.2
8.0,3360.2992,9265.21442,385.51,266.03,154.87,157.81,91.81,112.82,75.99,92.44,133.27,201.61,154.71,283.47,1647813600.0,22.0,0.0,6.0,408.34
5.0,3355.342,7841.20175,547.19,588.52,676.77,704.47,713.98,857.28,861.39,893.45,877.93,871.05,897.46,967.21,1647843600.0,6.0,20.0,0.0,514.59
8.0,3360.2992,9265.21442,1326.56,1263.98,1381.07,1289.94,1435.94,1368.85,1418.13,1462.28,1456.05,1280.7,1339.8,882.35,1647515400.0,11.0,10.0,3.0,1276.19
4.0,3352.094,7366.14203,42.25,410.95,312.8,544.42,537.71,532.84,499.78,449.61,622.29,334.13,360.27,380.11,1646924400.0,15.0,0.0,3.0,-0.3
6.0,3329.4284,8340.79769,1259.52,1372.88,1396.88,1366.2,1477.49,1403.99,1378.04,1433.22,1468.98,1462.26,1439.89,1451.26,1647346200.0,12.0,10.0,1.0,1109.4
7.0,3360.5473,8816.23834,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,45.24,49.55,0.0,11.96,24.04,-3.24,1647440400.0,14.0,20.0,2.0,-0.31
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1647691800.0,12.0,10.0,5.0,-0.3
1.0,3349.8515,5939.23193,535.29,315.5,484.42,552.7,523.63,449.65,505.55,514.29,452.56,528.6,394.68,407.99,1646923800.0,14.0,50.0,3.0,386.55
2.0,3351.0017,6416.64673,503.37,503.37,503.37,503.37,503.37,503.37,503.37,503.37,503.37,503.37,503.37,503.37,1646623200.0,3.0,20.0,0.0,503.37
